Date,Income
01/01,1763
01/02,8274
01/03,7726
01/04,5540
01/05,1980
01/06,1993
01/07,1883
01/08,8765
01/09,9280
01/10,5678
01/11,3456
01/12,1883
01/13,2345
01/14,6789
01/15,7163
01/16,9181
01/17,1234
01/18,8765
01/19,4321
01/20,5678
01/21,3456
01/22,1938
01/23,2345
01/24,8394
01/25,1840
01/26,9876
01/27,7560
01/28,8765
01/29,8876
01/30,5678
01/31,8876
02/01,7890
02/02,8876
02/03,6789
02/04,3456
02/05,9876
02/06,9876
02/07,8765
02/08,4321
02/09,8798
02/10,3456
02/11,5543
02/12,2345
02/13,6789
02/14,6654
02/15,9876
02/16,7765
02/17,8765
02/18,9879
02/19,5678
02/20,6643
02/21,7890
02/22,3232
02/23,6789
02/24,8876
02/25,9876
02/26,1234
02/27,1173
02/28,1286
03/01,2342
03/02,3456
03/03,2847
03/04,2345
03/05,6789
03/06,3456
03/07,9876
03/08,7469
03/09,8765
03/10,6524
03/11,5678
03/12,3456
03/13,7890
03/14,2345
03/15,6789
03/16,3456
03/17,9876
03/18,6654
03/19,8765
03/20,4321
03/21,8779
03/22,6654
03/23,7654
03/24,6643
03/25,6789
03/26,6000
03/27,6543
03/28,6998
03/29,6543
03/30,4321
03/31,7765
04/01,8876
04/02,7890
04/03,1213
04/04,6789
04/05,3456
04/06,9876
04/07,1234
04/08,6543
04/09,1232
04/10,1232
04/11,1998
04/12,1232
04/13,2345
04/14,6789
04/15,3456
04/16,3213
04/17,1234
04/18,8765
04/19,4321
04/20,5678
04/21,3456
04/22,7890
04/23,2345
04/24,6789
04/25,4532
04/26,9876
04/27,1234
04/28,8765
04/29,4877
04/30,5678
05/01,3456
05/02,7890
05/03,7654
05/04,6789
05/05,5432
05/06,9876
05/07,7623
05/08,8765
05/09,7868
05/10,5678
05/11,7654
05/12,7890
05/13,2345
05/14,6789
05/15,3456
05/16,9876
05/17,1234
05/18,8765
05/19,4321
05/20,5678
05/21,3456
05/22,7890
05/23,2345
05/24,6789
05/25,3456
05/26,9876
05/27,1234
05/28,8765
05/29,4321
05/30,5678
05/31,3456
06/01,7890
06/02,2345
06/03,6789
06/04,3456
06/05,9876
06/06,1234
06/07,8765
06/08,4321
06/09,5678
06/10,3456
06/11,7890
06/12,2345
06/13,6789
06/14,3456
06/15,9876
06/16,1234
06/17,8765
06/18,4321
06/19,5678
06/20,3456
06/21,7890
06/22,2345
06/23,6789
06/24,3456
06/25,9876
06/26,1234
06/27,8765
06/28,4321
06/29,5678
06/30,3456
07/01,7890
07/02,2345
07/03,6789
07/04,3456
07/05,9876
07/06,1234
07/07,8765
07/08,4321
07/09,5678
07/10,3456
07/11,7890
07/12,2345
07/13,6789
07/14,3456
07/15,9876
07/16,1234
07/17,8765
07/18,4321
07/19,5678
07/20,3456
07/21,7890
07/22,2345
07/23,6789
07/24,3456
07/25,9876
07/26,1234
07/27,8765
07/28,4321
07/29,5678
07/30,3456
07/31,7890
08/01,2345
08/02,6789
08/03,3456
08/04,9876
08/05,1234
08/06,8765
08/07,4321
08/08,5678
08/09,3456
08/10,7890
08/11,2345
08/12,6789
08/13,3456
08/14,9876
08/15,1234
08/16,8765
08/17,4321
08/18,5678
08/19,3456
08/20,7890
08/21,2345
08/22,6789
08/23,3456
08/24,9876
08/25,1234
08/26,8765
08/27,4321
08/28,5678
08/29,3456
08/30,7890
08/31,2345
09/01,6789
09/02,3456
09/03,9876
09/04,1234
09/05,8765
09/06,4321
09/07,5678
09/08,3456
09/09,7890
09/10,2345
09/11,6789
09/12,3456
09/13,9876
09/14,1234
09/15,8765
09/16,4321
09/17,5678
09/18,3456
09/19,7890
09/20,2345
09/21,6789
09/22,3456
09/23,9876
09/24,1234
09/25,8765
09/26,4321
09/27,5678
09/28,3456
09/29,7890
09/30,2345
10/01,6789
10/02,3456
10/03,9876
10/04,1234
10/05,8765
10/06,4321
10/07,5678
10/08,3456
10/09,7890
10/10,2345
10/11,6789
10/12,3456
10/13,9876
10/14,1234
10/15,8765
10/16,4321
10/17,5678
10/18,3456
10/19,7890
10/20,2345
10/21,6789
10/22,3456
10/23,9876
10/24,1234
10/25,8765
10/26,4321
10/27,5678
10/28,3456
10/29,7890
10/30,2345
10/31,6789
11/01,3456
11/02,9876
11/03,1234
11/04,8765
11/05,4321
11/06,5678
11/07,3456
11/08,7890
11/09,2345
11/10,6789
11/11,3456
11/12,9876
11/13,1234
11/14,8765
11/15,4321
11/16,5678
11/17,3456
11/18,7890
11/19,2345
11/20,6789
11/21,3456
11/22,9876
11/23,1234
11/24,8765
11/25,4321
11/26,5678
11/27,3456
11/28,7890
11/29,2345
11/30,6789
12/01,3456
12/02,9876
12/03,1234
12/04,8765
12/05,4321
12/06,5678
12/07,3456
12/08,7890
12/09,2345
12/10,6789
12/11,3456
12/12,9876
12/13,1234
12/14,8765
12/15,4321
12/16,5678
12/17,3456
12/18,7890
12/19,2345
12/20,6789
12/21,3456
12/22,9876
12/23,1234
12/24,8765
12/25,4321
12/26,5678
12/27,3456
12/28,7890
12/29,2345
12/30,6789
12/31,3456
